##
##  InChi => KEGG
## 2020.6.24 Osaka Univ.
## from https://github.com/fumiomatsuda/blankmaps/tree/master/ids
##
%Allow_Multiple_Output
C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
C02979	DHCLVCXQIBBOPH-UHFFFAOYSA-N
C02989	QEFRNWWLZKMPFJ-YGVKFDHGSA-N
C03082	IXZNKTPIYKDIGG-REOHCLBHSA-N
C03088	JDBGXEHEIRGOBU-UHFFFAOYSA-N
C03114	LJUQGASMPRMWIW-UHFFFAOYSA-N
C03145	PYUSHNKNPOHWEZ-YFKPBYRVSA-N
C03196	HWXBTNAVRSUOJR-VKHMYHEASA-N
C03232	LFLUCDOSQPJJBE-UHFFFAOYSA-N
C03264	LVRFTAZAXQPQHI-RXMQYKEDSA-N
C03287	PJRXVIJAERNUIP-VKHMYHEASA-N
C03339	XOHUEYCVLUUEJJ-UHFFFAOYSA-N
C03384	HXXFSFRBOHSIMQ-SVZMEOIVSA-N
C03406	KDZOASGQNOPSCU-WDSKDSINSA-N
C03465	JVQYSWDUAOAHFM-UHFFFAOYSA-N
C03479	VVIAGPKUTFNRDU-ABLWVSNPSA-N
C03508	SAUCHDKDCUROAO-VKHMYHEASA-N
C03557	QQVDJLLNRSOCEL-UHFFFAOYSA-N
C03626	YDGMGEXADBMOMJ-LURJTMIESA-N
C03661	VAWYEUIPHLMNNF-OESPXIITSA-N
C03665	FUOOLUPWFVMBKG-UHFFFAOYSA-N
C03672	JVGVDSSUAVXRDY-UHFFFAOYSA-N
C03680	HEXMLHKQVUFYME-UHFFFAOYSA-N
C03722	GJAWHXHKYYXBSV-UHFFFAOYSA-N
C03758	VYFYYTLLBUKUHU-UHFFFAOYSA-N
C03761	NPOAOTPXWNWTSH-UHFFFAOYSA-N
C03793	MXNRLFUSFKVQSK-QMMMGPOBSA-N
C03794	OFBHPPMPBOJXRT-VWJPMABRSA-N
C03840	KQPYUDDGWXQXHS-UHFFFAOYSA-N
C03912	DWAKNKKXGALPNW-BYPYZUCNSA-N
C03990	SMEROWZSTRWXGI-HVATVPOCSA-N
C04076	GFXYTQPNNXGICT-YFKPBYRVSA-N
C04227	QHGUCRYDKWKLMG-QMMMGPOBSA-N
C04256	FZLJPEPAYPUMMR-RTRLPJTCSA-N
C04483	KXGVEGMKQFWNSR-LLQZFEROSA-N
C04874	YQIFAMYNGGOTFB-XINAWCOVSA-N
C00310	ZAQJHHRNXZUBTE-UHFFFAOYSA-N
C05122	FZLMIZAHBFKTSH-IECFWMJSSA-N
C05127	FHQDWPCFSJMNCT-UHFFFAOYSA-N
C05145	QCHPKSFMDHPSNR-UHFFFAOYSA-N
C05343	YHXHKYRQLYQUIH-SSDOTTSWSA-N
C05382	JDTUMPKOJBQPKX-GBNDHIKLSA-N
C05402	DLRVVLDZNNYCBX-ABXHMFFYSA-N
C05422	SBJKKFFYIZUCET-JLAZNSOCSA-N
C05441	MECHNRXZTMCUDQ-RKHKHRCZSA-N
C05443	QYSXJUFSXHHAJI-YRZJJWOYSA-N
C05463	AWDRATDZQPNJFN-JCAYPLLTSA-N
C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N
C05465	BHTRKEVKTKCXOH-BJLOMENOSA-N
C05466	GHCZAUBVMUEKKP-GYPHWSFCSA-N
C05512	VGONTNSXDCQUGY-RRKCRQDMSA-N
C05519	AYFVYJQAPQTCCC-HRFVKAFMSA-N
C05527	JXYLQEMXCAAMOL-UHFFFAOYSA-N
C05568	ACZFBYCNAVEFLC-UHFFFAOYSA-N
C05574	BBJIPMIXTXKYLZ-UHFFFAOYSA-N
C05580	RGHMISIYKIHAJW-UHFFFAOYSA-N
C05582	QRMZSPFSDQBLIX-UHFFFAOYSA-N
C05584	BTCSSZJGUNDROE-UHFFFAOYSA-N
C05589	YNYAYWLBAHXHLL-QMMMGPOBSA-N
C05593	FVMDYYGIDFPZAX-UHFFFAOYSA-N
C05607	VOXXWSYKYCBWHO-MRVPVSSYSA-N
C05610	CDICDSOGTRCHMG-ONEGZZNKSA-N
C05629	XMIIGOLPHOKFCH-UHFFFAOYSA-N
C05635	DUUGKQCEGZLZNO-UHFFFAOYSA-N
C05659	JTEJPPKMYBDEMY-UHFFFAOYSA-N
C05824	NOKPBJYHPHHWAN-REOHCLBHSA-N
C05852	CCVYRRGZDBSHFU-UHFFFAOYSA-N
C05903	IYRMWMYZSQPJKC-UHFFFAOYSA-N
C05905	VEVZSMAEJFVWIL-UHFFFAOYSA-O
C05984	AFENDNXGAFYKQO-VKHMYHEASA-N
C06044	YCCILVSKPBXVIP-UHFFFAOYSA-N
C06104	WNLRTRBMVRJNCN-UHFFFAOYSA-N
C06156	YMJBYRVFGYXULK-QZABAPFNSA-N
C06313	LHQIJBMDNUYRAM-UHFFFAOYSA-N
C06337	KKEYFWRCBNTPAC-UHFFFAOYSA-N
C06350	ABXZOXDTHTTZJW-UHFFFAOYSA-N
C21096	AGPKZVBTJJNPAG-UHNVWZDZSA-N
C06423	WWZKQHOCKIZLMA-UHFFFAOYSA-N
C06424	TUNFSRHWOTWDNC-UHFFFAOYSA-N
C06428	JAZBEHYOTPTENJ-JLNKQSITSA-N
C06429	MBMBGCFOFBJSGT-KUBAVDMBSA-N
C06468	BJHIKXHVCXFQLS-PUFIMZNGSA-N
C06473	VBUYCZFBVCCYFD-JJYYJPOSSA-N
C06563	TZBJGXHYKVUXJN-UHFFFAOYSA-N
C06672	WKOLLVMJNQIZCI-UHFFFAOYSA-N
C06677	JOXIMZWYDAKGHI-UHFFFAOYSA-N
C06758	FXLOVSHXALFLKQ-UHFFFAOYSA-N
C06771	GSEJCLTVZPLZKY-UHFFFAOYSA-N
C06804	RZVAJINKPMORJF-UHFFFAOYSA-N
C06809	PWKSKIMOESPYIA-BYPYZUCNSA-N
C07073	NNJVILVZKWQKPM-UHFFFAOYSA-N
C07086	WLJVXDMOQOGPHL-UHFFFAOYSA-N
C07130	ZFXYFBGIUFBOJW-UHFFFAOYSA-N
C07185	NIJJYAXOARWZEE-UHFFFAOYSA-N
C07194	CJCSPKMFHVPWAR-JTQLQIEISA-N
C07202	IUBSYMUCCVWXPE-UHFFFAOYSA-N
C07215	ZWLPBLYKEWSWPD-UHFFFAOYSA-N
C07321	GSDSWSVVBLHKDQ-UHFFFAOYSA-N
C07326	MPCAJMNYNOGXPB-SLPGGIOYSA-N
C07458	FDDDEECHVMSUSB-UHFFFAOYSA-N
C07481	RYYVLZVUVIJVGH-UHFFFAOYSA-N
C07588	ONJSZLXSECQROL-UHFFFAOYSA-N
C07880	RUDATBOHQWOJDD-UZVSRGJWSA-N
C08240	DLRVVLDZNNYCBX-LIZSDCNHSA-N
C08243	QWIZNVHXZXRPDR-WSCXOGSTSA-N
C08261	BDJRBEYXGGNYIS-UHFFFAOYSA-N
C08262	GWYFCOCPABKNJV-UHFFFAOYSA-N
C08277	CXMXRPHRNRROMY-UHFFFAOYSA-N
C08278	TYFQFVWCELRYAO-UHFFFAOYSA-N
C08291	UJVHVMNGOZXSOZ-VKHMYHEASA-N
C08348	AEMOLEFTQBMNLQ-DTEWXJGMSA-N
C08349	MSWZFWKMSRAUBD-QZABAPFNSA-N
C08362	SECPZKHBENQXJG-FPLPWBNLSA-N
C08427	PHZOWSSBXJXFOR-GLVDENFASA-N
C09629	NPNUFJAVOOONJE-GFUGXAQUSA-N
C09727	PFTAWBLQPZVEMU-UKRRQHHQSA-N
C09731	WMBWREPUVVBILR-WIYYLYMNSA-N
C09789	DFPMSGMNTNDNHN-ZPHOTFPESA-N
C09959	YKRGDOXKVOZESV-WRJNSLSBSA-N
C10043	VHBFFQKBGNRLFZ-UHFFFAOYSA-N
C10107	IKMDFBPHZNJCSN-UHFFFAOYSA-N
no data	WYEPBHZLDUPIOD-UHFFFAOYSA-N
C10164	SIOXPEMLGUPBBT-UHFFFAOYSA-N
C10208	ZQSIJRDFPHDXIC-UHFFFAOYSA-N
C10712	UILPJVPSNHJFIK-UHFFFAOYSA-N
C10906	BJHIKXHVCXFQLS-UYFOZJQFSA-N
C11150	YNJBWRMUSHSURL-UHFFFAOYSA-N
C11227	GGLZPLKKBSSKCX-YFKPBYRVSA-N
C11434	XMWHRVNVKDKBRG-UHNVWZDZSA-N
C11511	YYLQUHNPNCGKJQ-LWMBPPNESA-N
C11512	GEWDNTWNSAZUDX-WQMVXFAESA-N
C11811	MDSIZRKJVDMQOQ-GORDUTHDSA-N
C12110	KFNRJXCQEJIBER-UHFFFAOYSA-N
C12136	XMOCLSLCDHWDHP-IUODEOHRSA-N
C12292	YYZUSRORWSJGET-UHFFFAOYSA-N
C12305	OSWPMRLSEDHDFF-UHFFFAOYSA-N
C12313	PFURGBBHAOXLIO-OLQVQODUSA-N
C12486	KGBXLFKZBHKPEV-UHFFFAOYSA-N
C12989	VEYYWZRYIYDQJM-ZETCQYMHSA-N
C13202	ZAKOWWREFLAJOT-CEFNRUSXSA-N
D08266	VQHSOMBJVWLPSR-JVCRWLNRSA-N
C06212	WYWNEDARFVJQSG-UHFFFAOYSA-N
C13747	QUNWUDVFRNGTCO-UHFFFAOYSA-N
C13858	OGBUMNBNEWYMNJ-UHFFFAOYSA-N
C14315	MWPLVEDNUUSJAV-UHFFFAOYSA-N
C14516	BEJNERDRQOWKJM-UHFFFAOYSA-N
C14872	UVZICZIVKIMRNE-UHFFFAOYSA-N
C15517	DGABKXLVXPYZII-SIBKNCMHSA-N
C15557	XBSQTYHEGZTYJE-OETIFKLTSA-N
C16199	YCPXWRQRBFJBPZ-UHFFFAOYSA-N
C16241	AGBQKNBQESQNJD-SSDOTTSWSA-N
C16511	VBOQYPQEPHKASR-VKHMYHEASA-N
C16513	YUFFSWGQGVEMMI-JLNKQSITSA-N
C16650	ZIWBCJXKYKOLJK-UHFFFAOYSA-N
C16651	LLPFTSMZBSRZDV-UHFFFAOYSA-N
C16658	IFNXFIJXYVEYLF-UHFFFAOYSA-N
C16666	WRPWWVNUCXQDQV-UHFFFAOYSA-N
C16741	YSMODUONRAFBET-UHNVWZDZSA-N
C16868	BHTRKEVKTKCXOH-LBSADWJPSA-N
C16884	UNXHWFMMPAWVPI-QWWZWVQMSA-N
C17457	QQUHMASGPODSIW-ICECTASOSA-N
C17467	BVJSUAQZOZWCKN-UHFFFAOYSA-N
C17714	MNWFXJYAOYHMED-UHFFFAOYSA-N
C17726	DKPMWHFRUGMUKF-CRKPLTDNSA-N
C17727	DKPMWHFRUGMUKF-NTPBNISXSA-N
C18218	UGAGPNKCDRTDHP-UHFFFAOYSA-N
C18319	WLAMNBDJUVNPJU-UHFFFAOYSA-N
C18341	ABTBLEGNFLLCMG-OFBPEYICSA-N
C18623	ZGUNAGUHMKGQNY-ZETCQYMHSA-N
C19524	RINCXYDBBGOEEQ-UHFFFAOYSA-N
C19636	RULSWEULPANCDV-PIXUTMIVSA-N
C19670	FATBGEAMYMYZAF-KTKRTIGZSA-N
C19781	VLJNHYLEOZPXFW-BYPYZUCNSA-N
C19806	KQTIIICEAUMSDG-UHFFFAOYSA-N
C19910	SQVRNKJHWKZAKO-PFQGKNLYSA-N
C19911	NBZBKCUXIYYUSX-UHFFFAOYSA-N
C20448	PCSKKIUURRTAEM-UHFFFAOYSA-N
C20775	GAQNUGISBQJMKO-YFKPBYRVSA-N
C20827	AXFYFNCPONWUHW-UHFFFAOYSA-N
C21016	JCMUOFQHZLPHQP-BQBZGAKWSA-N
no data	SXGZJKUKBWWHRA-UHFFFAOYSA-N
no data	UCUNFLYVYCGDHP-UHFFFAOYSA-N
D01924	GLDOVTGHNKAZLK-UHFFFAOYSA-N
D01947	VBICKXHEKHSIBG-UHFFFAOYSA-N
D04845	VQHSOMBJVWLPSR-WUJBLJFYSA-N
D06890	HSMNQINEKMPTIC-UHFFFAOYSA-N
D07063	KSMRODHGGIIXDV-YFKPBYRVSA-N
D07185	NMKSAYKQLCHXDK-UHFFFAOYSA-N
C00941	WCPTXJJVVDAEMW-XVFCMESISA-N
D01114	PIICEJLVQHRZGT-UHFFFAOYSA-N
D05408	FCPVYOBCFFNJFS-LQDWTQKMSA-M
C00341	GVVPGTZRZFNKDS-JXMROGBWSA-N
C00448	VWFJDQUYCIWHTN-YFVJMOTDSA-N
C00751	YYGNTYWPHWGJRM-AAJYLUCBSA-N
C01054	QYIMSPSDBYKPPY-RSKUXYSASA-N
C01724	CAHGCLMLTWQZNJ-BQNIITSRSA-N
C00447	OKHXOUGRECCASI-SHUUEZRQSA-N
C00399	SQQWBSBBCSFQGC-UHFFFAOYSA-N
C14794	IDKLJIUIJUVJNR-JSEKUSAISA-N
C05961	KFGOFTHODYBSGM-ZUNNJUQCSA-N
C18171	AOPOCGPBAIARAV-OTBJXLELSA-N
C05950	SXWGPVJGNOLNHT-VFLUTPEKSA-N
C05962	ROUDCKODIMKLNO-CTBSXBMHSA-N
C04853	PTJFJXLGRSTECQ-PSPARDEHSA-N
C06476	SAKGBZWJAIABSY-SAMSIYEGSA-N
C13809	PXGPLTODNUVGFL-NAPLMKITSA-N
C05963	XNRNNGPBEPRNAR-VTCRGFIFSA-N
C06439	CBOMORHDRONZRN-QLOYDKTKSA-N
C05959	PXGPLTODNUVGFL-UHFFFAOYSA-N
C13802	ANOICLBSJIMQTA-WXGBOJPQSA-N
C00639	PXGPLTODNUVGFL-YNNPMVKQSA-N
C06475	DZUXGQBLFALXCR-CDIPTNKSSA-N
C00584	XEYBRNLFEZDVAW-ARSRFYASSA-N
C05964	KJYIVXDPWBUJBQ-UHHGALCXSA-N
C05960	LOLJEILMPWPILA-AMFHKTBMSA-N
C06315	UXVRTOKOJOMENI-WLPVFMORSA-N
C04741	GMVPRGQOIOIIMI-DWKJAMRDSA-N
C00696	BHMBVRSPMRCCGG-OUTUXVNYSA-N
C06438	CIMMACURCPXICP-PNQRDDRVSA-N
C04707	YRTJDWROBKPZNV-KMXMBPPJSA-N
C06314	IXAQOQZEOGMIQS-SSQFXEBMSA-N
C04671	CUJMXIQZWPZMNQ-XYYGWQPLSA-N
C18178	OIWTWACQMDFHJG-UHFFFAOYSA-N
C02166	GWNVDXQDILPJIG-NXOLIXFESA-N
C05951	YEESKJGWJFYOOK-IJHYULJSSA-N
C05952	OTZRAYGBFWZKMX-FRFVZSDQSA-N
C06462	PYSODLWHFWCFLV-AXEBJCQESA-N
C05953	MYHXHCUNDDAEOZ-FOSBLDSVSA-N
C05957	UQOQENZZLBSFKO-POPPZSFYSA-N
C05954	PRFXRIUZNKLRHM-HKVRTXJWSA-N
C04685	BGKHCLZFGPIKKU-BGEXMHJYSA-N
C02165	VNYSSYRCGWBHLG-AMOLWHMGSA-N
C14829	CQSLTKIXAJTQGA-GJGKEFFFSA-N
C14828	XEBKSQSGNGRGDW-YFHOEESVSA-N
C05949	SJVWVCVZWMJXOK-NOJHDUNKSA-N
C11361	BGGYAYMMFYBWEX-PJEAHERNSA-N
C14775	SYAWGTIVOGUZMM-ILYOTBPNSA-N
C20388	KUKJHGXXZWHSBG-WBGSEQOASA-N
C14774	LRPPQRCHCPFBPE-KROJNAHFSA-N
C14773	DCJBINATHQHPKO-TYAUOURKSA-N
C16326	RIGGEAZDTKMXSI-MEBVTJQTSA-N
C14772	GFNYAPAJUNPMGH-QNEBEIHSSA-N
C16316	KLLGGGQNRTVBSU-UHFFFAOYSA-N
C14717	VHRUMKCAEVRUBK-GODQJPCRSA-N
C14748	NNDIXBJHNLFJJP-DTLRTWKJSA-N
C04785	UYQGVDXDXBAABN-FQSPHKRJSA-N
C13903	VLBPIWYTPAXCFJ-UHFFFAOYSA-N
C14762	HNICUWMFWZBIFP-IRQZEAMPSA-N
C14767	NPDSHTNEKLQQIJ-UINYOVNOSA-N
C04742	JSFATNQSLKRBCI-VAEKSGALSA-N
C14827	JGUNZIWGNMQSBM-ZJHFMPGASA-N
C14765	JHXAZBBVQSRKJR-BSZOFBHHSA-N
C04717	JDSRHVWSAMTSSN-IRQZEAMPSA-N
C14766	LUZSWWYKKLTDHU-UHFFFAOYSA-N
C14776	NLUNAYAEIJYXRB-VYOQERLCSA-N
C04577	YGJTUEISKATQSM-USWFWKISSA-N
C05966	BFWYTORDSFIVKP-VAEKSGALSA-N
C14777	ZNHVWPKMFKADKW-LQWMCKPYSA-N
C04805	KGIJOOYOSFUGPC-JGKLHWIESA-N
C05965	ZIOZYRSDNLNNNJ-LQWMCKPYSA-N
C14807	GURBRQGDZZKITB-VXBMJZGYSA-N
C05356	JNUUNUQHXIOFDA-JGKLHWIESA-N
C14771	JBSCUHKPLGKXKH-ILYOTBPNSA-N
C14732	MEASLHGILYBXFO-UHFFFAOYSA-N
C11695	LGEQQWMQCRIYKG-DOFZRALJSA-N
C14770	DXOYQVHGIODESM-ATELOPIESA-N
C14769	DBWQSCSXHFNTMO-TYAUOURKSA-N
C14768	VBQNSZQZRAGRIX-QNEBEIHSSA-N
C00870	TJIUGUIPKRLHP-UHFFFAOYSA-N
C00097	PUJNEKJLAYXESH-REOHCLBHSA-N
C00587	JFXRHURBJZNAO-UHFFFAOYSA-N
